_id,Levelname,Ring-Color-Count,TotalColorCount,TotalRingCount
1,1,1-1-9;1-2-9;1-3-9;1-4-9;2-1-9;2-2-3;2-3-3;2-4-3;4-1-9;4-2-9;4-3-6;4-4-3;,4,81
2,2,1-1-9;1-2-9;1-3-9;1-4-9;2-1-9;2-2-3;2-3-3;2-4-3;4-1-9;4-2-9;4-3-6;4-4-3;,4,81
3,3,1-1-9;1-2-9;1-3-9;1-4-9;2-1-9;2-2-3;2-3-3;2-4-3;4-1-9;4-2-9;4-3-6;4-4-3;,4,81
4,4,1-1-9;1-2-9;1-3-9;1-4-9;2-1-9;2-2-3;2-3-3;2-4-3;4-1-9;4-2-9;4-3-6;4-4-3;,4,81
5,5,1-1-9;1-2-9;1-3-9;1-4-9;2-1-9;2-2-3;2-3-3;2-4-3;4-1-9;4-2-9;4-3-6;4-4-3;,5,81
6,6,1-1-9;1-2-9;1-3-9;1-4-9;2-1-9;2-2-3;2-3-3;2-4-3;4-1-9;4-2-9;4-3-6;4-4-3;,6,81
7,7,1-1-9;1-2-9;1-3-9;1-4-9;2-1-9;2-2-3;2-3-3;2-4-3;4-1-9;4-2-9;4-3-6;4-4-3;,6,81
8,8,1-1-9;1-2-9;1-3-9;1-4-9;2-1-9;2-2-3;2-3-3;2-4-3;4-1-9;4-2-9;4-3-6;4-4-3;,6,81
9,9,1-1-9;1-2-9;1-3-9;1-4-9;2-1-9;2-2-3;2-3-3;2-4-3;4-1-9;4-2-9;4-3-6;4-4-3;,6,81
10,10,1-1-9;1-2-9;1-3-9;1-4-9;2-1-9;2-2-3;2-3-3;2-4-3;4-1-9;4-2-9;4-3-6;4-4-3;,6,81
11,11,1-1-9;1-2-9;1-3-9;1-4-9;2-1-9;2-2-3;2-3-3;2-4-3;4-1-9;4-2-9;4-3-6;4-4-3;,6,81
12,12,1-1-9;1-2-9;1-3-9;1-4-9;2-1-9;2-2-3;2-3-3;2-4-3;4-1-9;4-2-9;4-3-6;4-4-3;,6,81
13,13,1-1-9;1-2-9;1-3-9;1-4-9;2-1-9;2-2-3;2-3-3;2-4-3;4-1-9;4-2-9;4-3-6;4-4-3;,6,81
14,14,1-1-9;1-2-9;1-3-9;1-4-9;2-1-9;2-2-3;2-3-3;2-4-3;4-1-9;4-2-9;4-3-6;4-4-3;,6,81
15,15,1-1-9;1-2-9;1-3-9;1-4-9;2-1-9;2-2-3;2-3-3;2-4-3;4-1-9;4-2-9;4-3-6;4-4-3;,6,81
16,16,1-1-9;1-2-9;1-3-9;1-4-9;2-1-9;2-2-3;2-3-3;2-4-3;4-1-9;4-2-9;4-3-6;4-4-3;,6,81
17,17,1-1-9;1-2-9;1-3-9;1-4-9;2-1-9;2-2-3;2-3-3;2-4-3;4-1-9;4-2-9;4-3-6;4-4-3;,6,81
18,18,1-1-9;1-2-9;1-3-9;1-4-9;2-1-9;2-2-3;2-3-3;2-4-3;4-1-9;4-2-9;4-3-6;4-4-3;,6,81
19,19,1-1-9;1-2-9;1-3-9;1-4-9;2-1-9;2-2-3;2-3-3;2-4-3;4-1-9;4-2-9;4-3-6;4-4-3;,6,81
